@relation unknow
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
F, 0.55, 0.415, 0.135, 0.7635, 0.318, 0.21, 0.2, 9
M, 0.45, 0.345, 0.105, 0.4115, 0.18, 0.1125, 0.135, 7
M, 0.53, 0.435, 0.16, 0.883, 0.316, 0.164, 0.335, 15
I, 0.295, 0.215, 0.085, 0.128, 0.049, 0.034, 0.04, 6
F, 0.53, 0.41, 0.165, 0.8115, 0.24, 0.169, 0.24, 19
F, 0.37, 0.275, 0.1, 0.2225, 0.093, 0.026, 0.08, 8
F, 0.55, 0.45, 0.15, 0.875, 0.362, 0.1755, 0.2765, 10
M, 0.59, 0.46, 0.13, 1.102, 0.455, 0.2055, 0.33, 12
I, 0.385, 0.265, 0.08, 0.251, 0.124, 0.037, 0.07, 6
F, 0.595, 0.47, 0.155, 1.121, 0.4515, 0.178, 0.155, 11
M, 0.765, 0.6, 0.22, 2.302, 1.007, 0.509, 0.6205, 12
I, 0.405, 0.3, 0.11, 0.32, 0.172, 0.044, 0.093, 7
I, 0.525, 0.4, 0.13, 0.6455, 0.325, 0.1245, 0.17, 8
M, 0.565, 0.435, 0.15, 0.99, 0.5795, 0.1825, 0.206, 8
M, 0.63, 0.47, 0.155, 1.1325, 0.589, 0.211, 0.287, 8
M, 0.65, 0.5, 0.155, 1.202, 0.565, 0.3135, 0.294, 11
M, 0.755, 0.58, 0.205, 2.0065, 0.8295, 0.4015, 0.595, 10
I, 0.33, 0.25, 0.095, 0.2085, 0.102, 0.0395, 0.052, 7
M, 0.515, 0.425, 0.145, 0.9365, 0.497, 0.181, 0.2185, 8
F, 0.55, 0.43, 0.14, 0.84, 0.375, 0.218, 0.1945, 8
F, 0.58, 0.46, 0.175, 1.165, 0.65, 0.2205, 0.3055, 9
M, 0.63, 0.47, 0.145, 1.1005, 0.52, 0.26, 0.276, 9
M, 0.74, 0.57, 0.18, 1.8725, 0.9115, 0.427, 0.446, 10
I, 0.41, 0.3, 0.09, 0.28, 0.141, 0.0575, 0.075, 8
I, 0.515, 0.35, 0.105, 0.4745, 0.213, 0.123, 0.1275, 10
M, 0.64, 0.515, 0.18, 1.247, 0.5475, 0.2925, 0.3685, 10
M, 0.645, 0.5, 0.175, 1.286, 0.5645, 0.288, 0.386, 12
M, 0.7, 0.565, 0.175, 1.8565, 0.8445, 0.3935, 0.54, 10
F, 0.74, 0.565, 0.205, 2.119, 0.9655, 0.5185, 0.482, 12
I, 0.545, 0.42, 0.165, 0.8935, 0.4235, 0.2195, 0.228, 8
M, 0.6, 0.495, 0.175, 1.3005, 0.6195, 0.284, 0.3285, 11
I, 0.185, 0.135, 0.04, 0.027, 0.0105, 0.0055, 0.0090, 5
I, 0.41, 0.335, 0.105, 0.3305, 0.1405, 0.064, 0.105, 7
I, 0.56, 0.445, 0.165, 0.832, 0.3455, 0.179, 0.279, 9
M, 0.57, 0.415, 0.13, 0.88, 0.4275, 0.1955, 0.238, 13
M, 0.575, 0.445, 0.145, 0.876, 0.3795, 0.1615, 0.27, 10
F, 0.605, 0.455, 0.145, 0.862, 0.334, 0.1985, 0.3, 9
I, 0.29, 0.21, 0.06, 0.1195, 0.056, 0.0235, 0.03, 6
M, 0.46, 0.345, 0.11, 0.4595, 0.235, 0.0885, 0.116, 7
M, 0.55, 0.44, 0.135, 0.879, 0.368, 0.2095, 0.265, 10
M, 0.445, 0.34, 0.12, 0.4475, 0.193, 0.1035, 0.13, 9
M, 0.645, 0.495, 0.185, 1.4935, 0.5265, 0.2785, 0.455, 15
M, 0.6, 0.485, 0.175, 1.2675, 0.4995, 0.2815, 0.38, 13
F, 0.72, 0.575, 0.215, 2.226, 0.8955, 0.405, 0.62, 13
F, 0.52, 0.41, 0.17, 0.8705, 0.3735, 0.219, 0.25, 14
M, 0.475, 0.375, 0.12, 0.563, 0.2525, 0.1205, 0.185, 10
M, 0.585, 0.455, 0.125, 1.027, 0.391, 0.212, 0.25, 17
M, 0.5, 0.39, 0.13, 0.709, 0.275, 0.168, 0.18, 11
I, 0.415, 0.315, 0.105, 0.33, 0.1405, 0.0705, 0.095, 6
M, 0.54, 0.42, 0.12, 0.8115, 0.392, 0.1455, 0.2235, 9
M, 0.48, 0.37, 0.1, 0.5135, 0.243, 0.1015, 0.135, 8
F, 0.635, 0.495, 0.18, 1.596, 0.617, 0.317, 0.37, 11
I, 0.475, 0.365, 0.1, 0.1315, 0.2025, 0.0875, 0.123, 7
F, 0.545, 0.4, 0.14, 0.778, 0.368, 0.215, 0.18, 9
F, 0.605, 0.48, 0.15, 1.079, 0.4505, 0.2835, 0.293, 10
I, 0.43, 0.34, 0.11, 0.3645, 0.159, 0.0855, 0.105, 7
I, 0.505, 0.425, 0.125, 0.6115, 0.245, 0.1375, 0.2, 9
I, 0.52, 0.395, 0.115, 0.6445, 0.3155, 0.1245, 0.186, 11
F, 0.625, 0.48, 0.2, 1.3235, 0.6075, 0.3055, 0.355, 9
F, 0.635, 0.505, 0.185, 1.3035, 0.501, 0.295, 0.41, 17
F, 0.61, 0.48, 0.19, 1.2955, 0.5215, 0.3225, 0.365, 12
M, 0.695, 0.53, 0.15, 1.477, 0.6375, 0.3025, 0.43, 14
I, 0.6, 0.445, 0.175, 1.057, 0.383, 0.216, 0.355, 16
M, 0.515, 0.4, 0.125, 0.955, 0.341, 0.2535, 0.26, 13
I, 0.415, 0.31, 0.105, 0.3595, 0.167, 0.083, 0.0915, 6
I, 0.25, 0.18, 0.065, 0.0805, 0.0345, 0.0185, 0.0215, 4
M, 0.6, 0.475, 0.23, 1.157, 0.522, 0.2235, 0.36, 11
F, 0.51, 0.375, 0.11, 0.5805, 0.2865, 0.118, 0.148, 7
I, 0.625, 0.485, 0.16, 1.15, 0.5255, 0.257, 0.3315, 11
I, 0.285, 0.205, 0.07, 0.106, 0.039, 0.0285, 0.034, 5
F, 0.575, 0.46, 0.15, 0.927, 0.333, 0.207, 0.2985, 9
M, 0.695, 0.58, 0.2, 1.8995, 0.675, 0.478, 0.5295, 13
M, 0.52, 0.425, 0.125, 0.79, 0.372, 0.205, 0.19, 8
I, 0.565, 0.43, 0.135, 0.8545, 0.321, 0.1775, 0.275, 11
M, 0.55, 0.45, 0.175, 1.0985, 0.3765, 0.215, 0.4, 14
F, 0.61, 0.5, 0.18, 1.438, 0.5185, 0.3735, 0.3345, 9
M, 0.585, 0.465, 0.15, 0.98, 0.4315, 0.2545, 0.247, 9
I, 0.54, 0.415, 0.155, 0.702, 0.322, 0.167, 0.19, 10
F, 0.575, 0.45, 0.12, 0.9585, 0.447, 0.169, 0.275, 12
I, 0.5, 0.36, 0.12, 0.439, 0.1875, 0.1055, 0.1305, 8
