@relation unknow
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
F, 0.47, 0.365, 0.105, 0.4205, 0.163, 0.1035, 0.14, 9
M, 0.58, 0.45, 0.15, 0.927, 0.276, 0.1815, 0.36, 14
M, 0.55, 0.405, 0.14, 0.8025, 0.244, 0.1635, 0.255, 10
F, 0.47, 0.36, 0.13, 0.472, 0.182, 0.114, 0.15, 10
M, 0.55, 0.41, 0.125, 0.7605, 0.2505, 0.1635, 0.195, 14
M, 0.385, 0.31, 0.1, 0.2845, 0.1065, 0.075, 0.1, 11
M, 0.6, 0.475, 0.19, 1.0875, 0.403, 0.2655, 0.325, 14
M, 0.485, 0.4, 0.135, 0.663, 0.313, 0.137, 0.2, 10
M, 0.605, 0.5, 0.175, 1.098, 0.4765, 0.232, 0.375, 12
M, 0.675, 0.555, 0.2, 1.4385, 0.545, 0.2665, 0.465, 21
I, 0.605, 0.47, 0.14, 0.939, 0.3385, 0.201, 0.32, 13
I, 0.58, 0.49, 0.195, 1.3165, 0.5305, 0.254, 0.41, 18
M, 0.525, 0.41, 0.13, 0.99, 0.3865, 0.243, 0.295, 15
M, 0.465, 0.36, 0.08, 0.488, 0.191, 0.125, 0.155, 11
I, 0.395, 0.29, 0.095, 0.319, 0.138, 0.08, 0.082, 7
F, 0.625, 0.49, 0.2, 1.3825, 0.5895, 0.285, 0.381, 11
I, 0.32, 0.24, 0.09, 0.1575, 0.07, 0.0265, 0.0425, 5
F, 0.475, 0.36, 0.12, 0.5915, 0.3245, 0.11, 0.127, 6
M, 0.495, 0.395, 0.135, 0.6335, 0.3035, 0.1295, 0.1495, 8
M, 0.5, 0.4, 0.125, 0.6725, 0.336, 0.12, 0.1825, 7
M, 0.505, 0.41, 0.125, 0.642, 0.289, 0.133, 0.155, 9
M, 0.51, 0.405, 0.15, 0.7035, 0.347, 0.134, 0.1885, 8
I, 0.51, 0.405, 0.125, 0.6795, 0.3465, 0.1395, 0.182, 8
M, 0.525, 0.405, 0.12, 0.7555, 0.3755, 0.1555, 0.201, 9
M, 0.575, 0.445, 0.17, 1.0225, 0.549, 0.2175, 0.228, 9
I, 0.5, 0.375, 0.125, 0.5695, 0.259, 0.124, 0.157, 7
M, 0.575, 0.46, 0.155, 0.892, 0.4415, 0.176, 0.22, 10
M, 0.63, 0.485, 0.145, 1.062, 0.5065, 0.1785, 0.3365, 12
M, 0.635, 0.51, 0.155, 0.986, 0.405, 0.2255, 0.31, 10
F, 0.645, 0.505, 0.165, 1.318, 0.55, 0.3015, 0.335, 11
I, 0.37, 0.27, 0.095, 0.2175, 0.097, 0.046, 0.065, 6
I, 0.415, 0.325, 0.1, 0.313, 0.139, 0.0625, 0.0965, 7
F, 0.575, 0.435, 0.15, 1.0305, 0.4605, 0.218, 0.36, 8
F, 0.61, 0.485, 0.18, 1.2795, 0.5735, 0.2855, 0.355, 7
F, 0.62, 0.515, 0.155, 1.3255, 0.6685, 0.2605, 0.335, 12
M, 0.625, 0.5, 0.17, 1.0985, 0.4645, 0.22, 0.354, 9
M, 0.63, 0.485, 0.165, 1.233, 0.6565, 0.2315, 0.3035, 10
I, 0.445, 0.33, 0.11, 0.358, 0.1525, 0.067, 0.1185, 8
M, 0.555, 0.435, 0.14, 0.7495, 0.341, 0.1645, 0.214, 8
