@relation unknow
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
F, 0.615, 0.48, 0.165, 1.1615, 0.513, 0.301, 0.305, 10
M, 0.605, 0.475, 0.18, 0.9365, 0.394, 0.219, 0.295, 15
M, 0.53, 0.415, 0.14, 0.724, 0.3105, 0.1675, 0.205, 10
I, 0.17, 0.13, 0.095, 0.03, 0.013, 0.0080, 0.01, 4
I, 0.4, 0.3, 0.11, 0.315, 0.109, 0.067, 0.12, 9
M, 0.485, 0.395, 0.14, 0.6295, 0.2285, 0.127, 0.225, 14
M, 0.36, 0.27, 0.1, 0.217, 0.0885, 0.0495, 0.0715, 6
I, 0.45, 0.355, 0.11, 0.4585, 0.194, 0.067, 0.14, 8
M, 0.61, 0.48, 0.15, 1.2, 0.56, 0.2455, 0.28, 14
F, 0.685, 0.545, 0.18, 1.768, 0.7495, 0.392, 0.485, 16
F, 0.615, 0.525, 0.155, 1.0385, 0.427, 0.2315, 0.345, 11
F, 0.62, 0.52, 0.225, 1.1835, 0.378, 0.27, 0.395, 23
F, 0.455, 0.35, 0.14, 0.5185, 0.221, 0.1265, 0.135, 10
F, 0.44, 0.355, 0.115, 0.415, 0.1585, 0.0925, 0.131, 11
F, 0.57, 0.44, 0.14, 0.9535, 0.3785, 0.201, 0.305, 17
M, 0.48, 0.375, 0.145, 0.777, 0.216, 0.13, 0.17, 9
M, 0.28, 0.205, 0.1, 0.1165, 0.0545, 0.0285, 0.03, 5
I, 0.25, 0.19, 0.06, 0.0765, 0.036, 0.0115, 0.0245, 6
I, 0.28, 0.205, 0.07, 0.1015, 0.041, 0.03, 0.03, 6
F, 0.575, 0.465, 0.14, 0.958, 0.442, 0.1815, 0.2705, 9
M, 0.66, 0.52, 0.19, 1.558, 0.755, 0.298, 0.4, 10
I, 0.345, 0.265, 0.1, 0.2455, 0.111, 0.0535, 0.065, 7
F, 0.53, 0.425, 0.13, 0.7585, 0.325, 0.197, 0.205, 8
M, 0.66, 0.535, 0.19, 1.5905, 0.6425, 0.297, 0.5175, 9
F, 0.57, 0.445, 0.145, 0.8775, 0.412, 0.217, 0.22, 8
M, 0.645, 0.53, 0.195, 1.39, 0.6465, 0.2945, 0.3735, 10
I, 0.42, 0.305, 0.09, 0.328, 0.168, 0.0615, 0.082, 6
I, 0.53, 0.415, 0.13, 0.694, 0.3905, 0.111, 0.167, 9
I, 0.57, 0.45, 0.135, 0.794, 0.3815, 0.1415, 0.245, 8
M, 0.59, 0.47, 0.18, 1.187, 0.5985, 0.227, 0.31, 9
M, 0.705, 0.565, 0.515, 2.21, 1.1075, 0.4865, 0.512, 10
M, 0.645, 0.51, 0.155, 1.539, 0.6405, 0.3585, 0.43, 11
M, 0.475, 0.36, 0.1, 0.4285, 0.1965, 0.099, 0.112, 7
I, 0.53, 0.42, 0.13, 0.8365, 0.3745, 0.167, 0.249, 11
I, 0.56, 0.44, 0.13, 0.7235, 0.349, 0.149, 0.2, 8
M, 0.72, 0.57, 0.2, 1.8275, 0.919, 0.366, 0.485, 10
I, 0.465, 0.37, 0.11, 0.445, 0.1635, 0.096, 0.166, 7
I, 0.47, 0.375, 0.12, 0.487, 0.196, 0.099, 0.135, 8
I, 0.5, 0.38, 0.11, 0.5605, 0.28, 0.106, 0.15, 9
I, 0.575, 0.45, 0.135, 0.8715, 0.45, 0.162, 0.225, 10
M, 0.58, 0.44, 0.16, 0.8295, 0.3365, 0.2005, 0.2485, 9
M, 0.62, 0.49, 0.16, 1.035, 0.44, 0.2525, 0.285, 11
M, 0.64, 0.49, 0.155, 1.1285, 0.477, 0.269, 0.34, 9
F, 0.65, 0.51, 0.185, 1.375, 0.531, 0.384, 0.3985, 10
I, 0.21, 0.15, 0.055, 0.0465, 0.017, 0.012, 0.015, 5
I, 0.36, 0.27, 0.085, 0.2185, 0.1065, 0.038, 0.062, 6
F, 0.62, 0.49, 0.16, 1.056, 0.493, 0.244, 0.2725, 9
F, 0.55, 0.47, 0.15, 0.897, 0.377, 0.184, 0.29, 9
F, 0.65, 0.515, 0.195, 1.4005, 0.5195, 0.36, 0.44, 13
F, 0.67, 0.52, 0.15, 1.406, 0.519, 0.348, 0.37, 13
M, 0.53, 0.435, 0.135, 0.7365, 0.3275, 0.1315, 0.22, 12
I, 0.625, 0.465, 0.155, 0.972, 0.404, 0.1845, 0.35, 14
M, 0.51, 0.415, 0.14, 0.8185, 0.3025, 0.2155, 0.235, 16
F, 0.59, 0.455, 0.165, 1.161, 0.38, 0.2455, 0.28, 12
I, 0.415, 0.325, 0.1, 0.4665, 0.2285, 0.1065, 0.114, 7
I, 0.5, 0.39, 0.125, 0.583, 0.294, 0.132, 0.1605, 8
F, 0.66, 0.525, 0.2, 1.463, 0.6525, 0.2995, 0.422, 11
M, 0.665, 0.515, 0.19, 1.6385, 0.831, 0.3575, 0.371, 11
I, 0.335, 0.26, 0.09, 0.1965, 0.0875, 0.041, 0.056, 7
