@relation unknow
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
F, 0.615, 0.475, 0.17, 1.1025, 0.4695, 0.2355, 0.345, 14
I, 0.315, 0.21, 0.06, 0.125, 0.06, 0.0375, 0.035, 5
M, 0.53, 0.42, 0.165, 0.8945, 0.319, 0.239, 0.245, 11
M, 0.27, 0.2, 0.08, 0.1205, 0.0465, 0.028, 0.04, 6
I, 0.265, 0.205, 0.07, 0.1055, 0.039, 0.041, 0.035, 5
I, 0.32, 0.255, 0.1, 0.1755, 0.073, 0.0415, 0.065, 7
M, 0.5, 0.38, 0.155, 0.5955, 0.2135, 0.161, 0.2, 12
F, 0.585, 0.45, 0.17, 0.8685, 0.3325, 0.1635, 0.27, 22
M, 0.7, 0.58, 0.205, 2.13, 0.7415, 0.49, 0.58, 20
M, 0.675, 0.525, 0.185, 1.587, 0.6935, 0.336, 0.395, 13
F, 0.645, 0.525, 0.19, 1.8085, 0.7035, 0.3885, 0.395, 18
I, 0.44, 0.345, 0.12, 0.365, 0.1655, 0.083, 0.11, 7
F, 0.63, 0.5, 0.155, 1.005, 0.367, 0.199, 0.36, 16
M, 0.545, 0.41, 0.14, 0.625, 0.223, 0.16, 0.235, 13
M, 0.295, 0.215, 0.075, 0.129, 0.05, 0.0295, 0.04, 7
F, 0.36, 0.265, 0.09, 0.2065, 0.078, 0.057, 0.06, 8
F, 0.485, 0.375, 0.135, 0.556, 0.1925, 0.1315, 0.1685, 10
I, 0.235, 0.175, 0.055, 0.067, 0.027, 0.0125, 0.018, 6
M, 0.47, 0.375, 0.12, 0.5805, 0.266, 0.0935, 0.169, 8
I, 0.5, 0.385, 0.12, 0.56, 0.2835, 0.103, 0.135, 8
M, 0.595, 0.475, 0.165, 1.213, 0.621, 0.2435, 0.274, 9
I, 0.245, 0.18, 0.065, 0.071, 0.03, 0.013, 0.0215, 4
M, 0.43, 0.335, 0.12, 0.397, 0.1985, 0.0865, 0.1035, 7
I, 0.48, 0.37, 0.125, 0.5435, 0.244, 0.101, 0.165, 9
