@relation unknow
@attribute x-box integer [0, 15]
@attribute y-box integer [0, 15]
@attribute width integer [0, 15]
@attribute high integer [0, 15]
@attribute onpix integer [0, 15]
@attribute x-bar integer [0, 15]
@attribute y-bar integer [0, 15]
@attribute x2bar integer [0, 15]
@attribute y2bar integer [0, 15]
@attribute xybar integer [0, 15]
@attribute x2ybr integer [0, 15]
@attribute xy2br integer [0, 15]
@attribute x-ege integer [0, 15]
@attribute xegvy integer [0, 15]
@attribute y-ege integer [0, 15]
@attribute yegvx integer [0, 15]
@attribute letter {T, I, D, N, G, S, B, A, J, M, X, O, R, F, C, H, W, L, P, E, V, Y, Q, U, K, Z}
@inputs x-box, y-box, width, high, onpix, x-bar, y-bar, x2bar, y2bar, xybar, x2ybr, xy2br, x-ege, xegvy, y-ege, yegvx
@outputs letter
@data
1, 1, 3, 2, 1, 8, 2, 2, 2, 8, 2, 8, 1, 6, 2, 7, A
6, 12, 5, 7, 4, 8, 5, 4, 3, 9, 9, 11, 4, 9, 8, 10, C
3, 3, 3, 4, 3, 7, 7, 5, 5, 7, 6, 6, 5, 8, 5, 10, B
4, 5, 5, 4, 4, 7, 7, 6, 6, 7, 6, 7, 3, 8, 3, 6, H
4, 10, 5, 8, 5, 7, 7, 5, 8, 5, 6, 8, 0, 8, 9, 8, S
4, 5, 4, 7, 4, 9, 7, 6, 2, 8, 6, 11, 3, 9, 6, 8, Q
2, 5, 4, 4, 2, 7, 12, 2, 3, 7, 11, 8, 2, 10, 1, 8, V
5, 8, 7, 6, 6, 8, 7, 2, 4, 9, 5, 7, 7, 6, 2, 8, M
3, 7, 4, 5, 4, 7, 5, 10, 0, 7, 8, 8, 6, 5, 0, 8, M
7, 13, 7, 7, 4, 8, 7, 2, 6, 10, 7, 9, 6, 11, 4, 8, K
9, 15, 8, 8, 5, 5, 5, 4, 4, 7, 8, 10, 7, 5, 3, 9, U
2, 3, 2, 2, 1, 6, 8, 6, 7, 8, 7, 12, 1, 9, 3, 10, C
2, 1, 2, 1, 1, 5, 7, 8, 7, 6, 6, 6, 2, 8, 3, 8, D
6, 12, 5, 7, 3, 7, 10, 6, 4, 9, 9, 5, 5, 12, 3, 8, V
5, 11, 6, 8, 3, 7, 8, 4, 8, 11, 7, 7, 2, 8, 5, 6, S
5, 9, 7, 7, 8, 7, 9, 5, 5, 8, 5, 7, 7, 6, 8, 12, K
6, 10, 8, 8, 7, 9, 6, 6, 5, 6, 7, 6, 8, 6, 2, 6, M
3, 7, 4, 5, 2, 7, 7, 14, 2, 5, 6, 8, 5, 8, 0, 8, N
2, 2, 3, 3, 2, 7, 7, 5, 5, 6, 6, 6, 2, 8, 5, 9, B
5, 9, 5, 6, 4, 7, 5, 14, 5, 7, 11, 8, 3, 9, 0, 8, U
6, 9, 8, 8, 8, 6, 8, 5, 7, 5, 3, 6, 5, 9, 8, 5, D
5, 11, 7, 8, 7, 9, 6, 1, 6, 10, 3, 8, 7, 7, 6, 11, K
3, 2, 4, 4, 3, 7, 8, 5, 5, 7, 7, 6, 5, 10, 2, 5, N
5, 9, 8, 7, 6, 5, 7, 3, 4, 10, 9, 9, 8, 6, 3, 8, M
4, 9, 6, 7, 6, 7, 8, 2, 6, 7, 7, 9, 4, 10, 6, 7, X
3, 9, 3, 6, 4, 5, 9, 8, 3, 7, 5, 8, 2, 7, 5, 11, R
4, 8, 6, 6, 8, 7, 6, 5, 3, 6, 6, 8, 7, 7, 9, 9, H
