@relation unknow
@attribute x-box integer [0, 15]
@attribute y-box integer [0, 15]
@attribute width integer [0, 15]
@attribute high integer [0, 15]
@attribute onpix integer [0, 15]
@attribute x-bar integer [0, 15]
@attribute y-bar integer [0, 15]
@attribute x2bar integer [0, 15]
@attribute y2bar integer [0, 15]
@attribute xybar integer [0, 15]
@attribute x2ybr integer [0, 15]
@attribute xy2br integer [0, 15]
@attribute x-ege integer [0, 15]
@attribute xegvy integer [0, 15]
@attribute y-ege integer [0, 15]
@attribute yegvx integer [0, 15]
@attribute letter {T, I, D, N, G, S, B, A, J, M, X, O, R, F, C, H, W, L, P, E, V, Y, Q, U, K, Z}
@inputs x-box, y-box, width, high, onpix, x-bar, y-bar, x2bar, y2bar, xybar, x2ybr, xy2br, x-ege, xegvy, y-ege, yegvx
@outputs letter
@data
1, 3, 3, 1, 1, 6, 4, 1, 7, 8, 3, 10, 0, 7, 2, 9, L
4, 5, 5, 8, 3, 7, 6, 8, 8, 6, 6, 10, 1, 8, 6, 11, G
2, 7, 3, 5, 1, 6, 10, 0, 3, 7, 11, 8, 1, 11, 0, 8, Y
3, 7, 4, 5, 4, 7, 7, 5, 6, 7, 6, 8, 3, 8, 3, 8, H
6, 11, 7, 8, 3, 4, 13, 9, 2, 10, 6, 4, 1, 10, 4, 8, P
9, 10, 7, 5, 3, 6, 11, 6, 2, 11, 5, 5, 4, 10, 4, 8, P
4, 8, 5, 5, 2, 7, 5, 15, 1, 7, 9, 8, 3, 8, 0, 8, H
2, 4, 3, 3, 2, 6, 6, 6, 5, 6, 6, 9, 2, 8, 4, 8, G
4, 4, 5, 3, 3, 6, 11, 5, 2, 8, 7, 6, 6, 11, 2, 6, W
6, 11, 6, 8, 4, 4, 8, 5, 6, 12, 10, 11, 2, 10, 3, 7, C
5, 7, 5, 5, 3, 6, 7, 6, 8, 12, 8, 12, 2, 10, 4, 7, C
4, 8, 5, 6, 3, 6, 8, 4, 6, 10, 9, 8, 2, 9, 5, 4, S
1, 1, 2, 1, 1, 7, 8, 5, 3, 7, 7, 7, 4, 8, 1, 6, N
6, 8, 9, 6, 5, 10, 8, 3, 6, 10, 2, 4, 5, 9, 1, 7, N
3, 5, 4, 7, 1, 12, 2, 9, 4, 14, 5, 13, 1, 6, 0, 8, J
6, 7, 8, 5, 4, 10, 7, 3, 6, 10, 1, 4, 6, 10, 2, 8, N
3, 8, 4, 6, 6, 10, 7, 4, 5, 7, 6, 6, 4, 6, 9, 6, D
7, 13, 6, 7, 3, 12, 5, 2, 6, 12, 3, 6, 2, 10, 4, 12, I
4, 9, 4, 4, 2, 11, 4, 4, 5, 12, 3, 8, 2, 7, 6, 12, Q
2, 2, 3, 2, 2, 8, 7, 6, 4, 6, 5, 9, 2, 9, 3, 9, Q
