@relation unknow
@attribute a1 {b, a}
@attribute a2 real [16.0, 8025.0]
@attribute a3 real [0.0, 26335.0]
@attribute a4 {u, y, l}
@attribute a5 {g, p, gg}
@attribute a6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute a7 {v, h, bb, ff, j, z, o, dd, n}
@attribute a8 real [0.0, 14415.0]
@attribute a9 {t, f}
@attribute a10 {t, f}
@attribute a11 real [0.0, 67.0]
@attribute a12 {f, t}
@attribute a13 {g, s, p}
@attribute a14 real [0.0, 2000.0]
@attribute a15 real [0.0, 100000.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15
@outputs class
@data
b, 3317.0, 104.0, u, g, r, h, 65.0, t, f, 0.0, t, g, 164.0, 31285.0, positive
b, 5442.0, 5.0, y, p, k, h, 396.0, t, f, 0.0, f, g, 180.0, 314.0, positive
a, 3825.0, 6.0, u, g, k, v, 1.0, t, f, 0.0, t, g, 0.0, 0.0, positive
b, 4808.0, 604.0, u, g, k, v, 4.0, f, f, 0.0, f, g, 0.0, 2690.0, positive
b, 2183.0, 25.0, u, g, d, h, 665.0, t, f, 0.0, t, g, 0.0, 0.0, positive
b, 5742.0, 85.0, u, g, e, h, 7.0, t, t, 3.0, f, g, 0.0, 0.0, positive
b, 2725.0, 1585.0, u, g, cc, h, 1835.0, t, t, 12.0, t, g, 583.0, 713.0, positive
b, 5458.0, 9415.0, u, g, ff, ff, 14415.0, t, t, 11.0, t, g, 30.0, 300.0, positive
b, 3192.0, 446.0, u, g, cc, h, 604.0, t, t, 3.0, f, g, 311.0, 300.0, positive
a, 2575.0, 5.0, u, g, c, h, 875.0, t, f, 0.0, t, g, 491.0, 0.0, positive
b, 3425.0, 3.0, u, g, cc, h, 7415.0, t, f, 0.0, t, g, 0.0, 0.0, positive
a, 36.0, 1.0, u, g, c, v, 2.0, t, t, 11.0, f, g, 0.0, 456.0, positive
b, 3233.0, 75.0, u, g, e, bb, 1585.0, t, f, 0.0, t, s, 420.0, 0.0, negative
a, 3858.0, 5.0, u, g, cc, v, 135.0, t, f, 0.0, t, g, 980.0, 0.0, negative
b, 2167.0, 1165.0, y, p, k, v, 25.0, t, t, 1.0, f, g, 180.0, 20.0, negative
b, 215.0, 975.0, u, g, c, v, 25.0, t, f, 0.0, f, g, 140.0, 0.0, negative
b, 34.0, 45.0, u, g, aa, v, 1.0, t, f, 0.0, t, g, 240.0, 0.0, negative
b, 2875.0, 15.0, y, p, c, v, 15.0, t, f, 0.0, t, g, 0.0, 225.0, negative
a, 225.0, 11.0, y, p, q, v, 3.0, t, f, 0.0, t, g, 268.0, 0.0, negative
a, 245.0, 104.0, y, p, ff, ff, 5.0, t, t, 3.0, f, g, 180.0, 147.0, negative
b, 3992.0, 621.0, u, g, q, v, 4.0, t, t, 1.0, f, g, 200.0, 300.0, positive
a, 2475.0, 125.0, u, g, aa, v, 15.0, t, t, 12.0, t, g, 120.0, 567.0, positive
a, 4417.0, 6665.0, u, g, q, v, 7375.0, t, t, 3.0, t, g, 0.0, 0.0, positive
b, 3267.0, 55.0, u, g, q, h, 55.0, t, t, 12.0, t, g, 408.0, 1000.0, positive
b, 4858.0, 65.0, u, g, q, h, 6.0, t, f, 0.0, t, g, 350.0, 0.0, positive
b, 3992.0, 54.0, y, p, aa, v, 5.0, t, t, 3.0, f, g, 200.0, 1000.0, positive
b, 3358.0, 275.0, u, g, m, v, 425.0, t, t, 6.0, f, g, 204.0, 0.0, positive
a, 1883.0, 95.0, u, g, w, v, 1625.0, t, t, 6.0, t, g, 40.0, 600.0, positive
a, 6867.0, 15.0, u, g, e, z, 0.0, t, t, 14.0, f, g, 0.0, 3376.0, positive
b, 28.0, 2.0, u, g, k, h, 4165.0, t, t, 2.0, t, g, 181.0, 0.0, positive
b, 44.0, 2.0, u, g, m, v, 175.0, t, t, 2.0, t, g, 0.0, 15.0, positive
b, 2508.0, 171.0, u, g, x, v, 1665.0, t, t, 1.0, t, g, 395.0, 20.0, positive
b, 3667.0, 325.0, u, g, q, h, 9.0, t, f, 0.0, t, g, 102.0, 639.0, positive
a, 2508.0, 254.0, y, p, aa, v, 25.0, t, f, 0.0, t, g, 370.0, 0.0, positive
b, 2267.0, 105.0, u, g, q, h, 1335.0, t, f, 0.0, f, g, 100.0, 0.0, positive
b, 27.0, 15.0, y, p, w, v, 375.0, t, f, 0.0, t, g, 260.0, 1065.0, positive
a, 2608.0, 8665.0, u, g, aa, v, 1415.0, t, f, 0.0, f, g, 160.0, 150.0, positive
b, 4767.0, 29.0, u, g, c, bb, 15.0, t, t, 20.0, f, g, 0.0, 15000.0, positive
b, 4875.0, 85.0, u, g, c, h, 125.0, t, t, 9.0, f, g, 181.0, 1655.0, positive
